Código,Descripción,Marca,Modelo,costo,IVA,Tarifa 1,,
9788479428945,TOMAS Y EL GATO ATRAPADO,,,0,4%,8.56,,
9788479428952,TOMAS Y LA BALLENA BROMISTA,,,0,4%,4.50,,
9788479429218,LUNA LLENA,,,0,4%,9.57,,
9788479718503,PINTXOS Y TAPAS,,,0,4%,4.09,,
9788487711688,EN QUE SE DIFERENCIA EL MAR Y UN ELEFANTE,,,0,4%,1.44,,
9788487711701,EN QUE SE DIFERENCIA UNA SELVA Y UN ABECEDARIO,,,0,4%,1.44,,
9788487711886,EN QUE SE DIFERENCIA EL BLANCO Y EL NEGRO,,,0,4%,1.44,,
9788490243411,EL VALLE VOLCANO DINOTREN-VENTANAS,,,0,4%,3.37,,
9788490243428,LA VALL DELVOLCA DINOTREN-FINESTRES,,,0,4%,3.37,,
9788490243435,BUDDY TIENE HAMBRE DINOTREN-MORDISCOS,,,0,4%,2.89,,
9788490244821,CUADERNO DE ACTIVIDADES BARBIE,,,0,4%,3.37,,
9788490245125,DINOTREN- APRENDE A CONTAR CON,,,0,21%,8.22,,
9788490246382,LIBRO + FIGURA POCOYO,,,0,21%,6.57,,
9788490246405,COFRE + FIGURA ELLY,,,0,21%,6.57,,
9788490249147,12 MESES DE SOL Y LLUVIA,,,0,4%,3.80,,
9788490249161,EL TREN MÁGICO CHÚ-CHÚ,,,0,4%,3.80,,
9788490941874,EL ARBOL: GIRAPÁGINA,,,0,4%,4.76,,
9788490941881,LA GRANJA: GIRAPÁGINA,,,0,4%,4.76,,
9788490941898,NUESTRO CUERPO: GIRAPAGINA,,,0,4%,4.76,,
9788492447145,JUEGO Y APRENDO CON FOXY,,,0,4%,2.22,,
9788492447169,ROMANOS,,,0,4%,2.31,,
9788492447183,VIKINGOS,,,0,4%,2.31,,
9788492447329,LA BUSQUEDA DEL DRAGON,,,0,4%,4.76,,
9788492447350,DINOSAURIOS STICKERS ATLAS,,,0,4%,2.40,,
9788492447367,ANIMALES STICKERS ATLAS,,,0,4%,2.40,,
9788492447374,POP-UP UN GRAN DIA EN LA JUNGLA,,,0,4%,5.72,,
9788492447381,POP-UP VEN Y JUEGA EN EL JARDIN,,,0,4%,5.72,,
9788492695744,CUANDO PAULA SE CONVIRTIO EN PAULA,,,0,4%,4.76,,
9788493727338,SEA ANIMALS/JUNGLE ANIMALS ESTUCHE,,,0,4%,7.64,,
9788493727369,A COMER - CAJA FICHAS,,,0,4%,7.64,,
9788493727376,ESTUCHE TU CUERPO                                 ,,,0,4%,7.64,,
9788493762100,DESCUBRE Y APRENDE CUERPO HUMANO FICHAS INTERACTIV,,,0,4%,6.57,,
9788496177084,COMER SANO Y CON FUNDAMENTO,,,0,4%,9.57,,
9788496177185,REDUCIR EL COLESTEROL,,,0,4%,7.69,,
9788496177307,REGULAR LA HIPERTENSION ARTERIAL,,,0,4%,7.69,,
9788496177406,PREVENIR LA OSTEOPOROSIS,,,0,4%,7.69,,
9788496177413,COMBATIR EL ESTREÑIMIENTO,,,0,4%,5.72,,
9788496389014,MI PRIMER LIBRO PRACTICO,,,0,4%,7.85,,
9788496389427,FOTOLIBRO.-TODOS QUEREMOS AL PEQUE,,,0,4%,5.74,,
9788496389465,FOTOLIBRO: UN DIA DEL PEQUE,,,0,4%,5.74,,
9788498853513,"MIRA MIRA, LOS CONTRARIOS",,,0,4%,4.76,,
9788498854510,MI PRIMER LIBRO 1 2 3 (LIBRO DE TELA+CUBOS),,,0,4%,4.92,,
9788498856774,MI BOLSITA DE PLAYA,,,0,4%,6.57,,
9788498857009,MI BOLSITA DE JARDIN,,,0,4%,3.72,,
9788498857023,MI BOLSITA DE BAÑO CHAP-CHAP,,,0,4%,6.57,,
9788498857801,MI PEQUEÑO MALETIN DE MÉDICO,,,0,4%,6.57,,
9788498857825,BAILARINA JUEGA Y APRENDE (MALETIN),,,0,4%,4.96,,
9788498858136,EL PECECITO,,,0,4%,2.84,,
9788498858150,EL PEQUEÑO PINGÜINO,,,0,4%,2.84,,
9788498858174,EL PEQUEÑO DELFÍN,,,0,4%,2.84,,
9788498858198,EL OSITO POLAR,,,0,4%,2.84,,
9788498859720,MIS PRIMEROS CALCULOS,,,0,4%,11.49,,
9788499281957,"PINTXOS, TAPAS, BOCADILLOS Y SANDWICHES",,,0,4%,9.57,,
9788849281704,HISTORIA DEL TIGRE,,,0,4%,6.73,,
9788877030115,TODOS LISTOS EN LA GRANJA - LABERINTO MADERA (COCC,,,0,4%,9.88,,
9788877030368,A BORDO DEL AVIÓN,,,0,4%,3.37,,
9788877030382,LA VIDA EN LA GRANJA,,,0,4%,3.37,,
9788877030450,"1,2,3...10 CONEJITOS",,,0,4%,2.40,,
9788877030467,AGUA AGÜITA,,,0,4%,2.40,,
9788877030481,"SI NO ME QUIERES DAR, !YA PUEDES TEMBLAR¡",,,0,4%,2.40,,
9788877030856,EL PECECITO,,,0,4%,3.80,,
9788877030870,¡TOC! ¡TOC! ¿QUÉ CUENTO ES?,,,0,4%,3.80,,
9788877030894,ESTRELLA ESTRELLITA,,,0,4%,3.80,,
9788877031013,¿CÓMO CANTAS TU?,,,0,4%,3.80,,
9788877031037,DE VIAJE POR EUROPA,,,0,4%,3.72,,
9788877031174,ÉRASE UNA VEZ UN LIBRO PEQUEÑO PEQUEÑITO,,,0,4%,3.80,,
9788877031181,LA NANITA NANA PEQUEÑA PEQUEÑITA,,,0,4%,3.80,,
9788877031228,MUCHAS ESTRELLAS-DIVERAGUJEROS,,,0,4%,2.40,,
9788877031235,RATONCITOS DE EXCURSIÓN,,,0,4%,2.40,,
9788877031242,"¿ QUÉ SONIDO HACEN ?, Abre las Ventanas",,,0,4%,2.89,,
9788877031259,"HABÍA UNA VEZ, Abre las Ventanas",,,0,4%,2.89,,
9788877031266,¿ DE DÓNDE VIENE ? Abre las Ventanas,,,0,4%,2.89,,
9788877031273,"¿ QUÉ LLEVA ?, Abre las Ventanas",,,0,4%,2.89,,
9788877031402,HE PERDIDO LA CABEZA - LABERINTO MADERA (COCCINEL,,,0,21%,9.05,,
9788877031457,"EN LA SELVA, Veo Veo",,,0,4%,2.40,,
9788877031471,"LAS MÁQUINAS DE TRABAJO, Veo Veo",,,0,4%,2.40,,
9788877031495,"LES MÁQUINES DE TREBALL, Veig Veig",,,0,4%,2.40,,
9788877031549,LOS ANIMALES SALVAJES,,,0,4%,3.80,,
9788877031587,QUIEN BUSCA ENCUENTRA,,,0,4%,3.80,,
9788877032058,EL CIRCO DE LOS COLORES,,,0,4%,3.80,,
9788877032072,¿QUÉ TRANSPORTO?,,,0,4%,3.80,,
9788877032355,"FELIZ NAVIDAD, PEQUEÑO RENO",,,0,4%,1.87,,
9788877032362,EL MUÑECO MÁS BONITO,,,0,4%,1.87,,
9788877032379,EN CASA DE PAPÁ NOEL,,,0,4%,1.87,,
9788877032386,LA ESTRELLA DE OSITO,,,0,4%,1.87,,
9788877032584,PECECITO BURBUJITA  /  DIVERAGUJEROS ACUÁTICOS,,,0,4%,1.87,,
9788877032614,HIPO-HIPO NADA Y SE VA,,,0,4%,3.26,,
9788877032645,ESTRELLITA ESTRELLITA/ DIVERGAJUEROS ACUATICOS,,,0,4%,1.87,,
9788877032805,"CANCIÓN DE CUNA, A LA CAMA VOY",,,0,4%,3.80,,
9788877032829,LAS RUEDAS CORREN...,,,0,4%,3.80,,
9788877032843,"EN EL CAMPO, Veo Veo",,,0,4%,2.40,,
9788877033260,MIRA QUÉ AGUJERO...,,,0,4%,3.80,,
